participant_id,test_id,test_duration,mental,physical,temporal,performance,effort,frustration,mean,mean_pupil_diameter,median_pupil_diameter,blinkrate,fixationrate
1,1,33.643950000000586,10,5,15,25,25,10,15,43.855534012899994,43.89397621154785,0.05944605196476529,0.29594625107053013
1,2,28.484322000000247,50,30,25,50,15,25,32.5,42.93553776016144,43.021598815918,,0.175533298245399
1,3,71.42382300000008,100,10,75,80,90,20,62.5,44.70445936756607,44.79162979,0.19601303055424496,0.19601838495636212
1,4,38.16344200000003,60,15,45,50,20,25,35.8,45.76215639489129,45.8454704284668,0.052406174474514074,0.288262571772794
2,1,41.74804700000095,20,10,20,10,20,15,15.8,31.49239306049311,31.3931007385254,,0.14372656710494836
2,2,29.480232000001706,50,10,60,30,30,25,34.2,33.24833941920432,33.119140625,,0.3052799438285005
2,3,42.02767599999788,50,10,20,25,50,20,29.2,34.22961421845484,34.1431655883789,0.1427630687930568,0.21477145316545632
2,4,49.023875999992015,85,10,90,90,80,85,73.3,34.96986778906296,35.0310668945312,0.20398223918487451,0.2651980217819225
3,1,42.35030099999858,5,5,5,0,5,5,4.2,31.121870152082177,30.6852992222407,0.14167549836305063,0.25975803491818805
3,2,45.0635059999986,15,10,10,0,15,5,9.2,31.42622480882639,31.3076288292728,0.08876362172086931,0.28848023740062073
3,3,86.71307800000068,80,15,55,45,50,25,45,33.56710174771341,33.823488601516445,0.20758114479571188,0.23064219083280155
3,4,53.12401900000259,55,10,15,15,30,10,22.5,33.40069627315061,33.4104499816895,0.13176713907883472,0.2259041460470136
4,1,18.114320000007865,35,45,55,40,45,15,39.2,30.32579458995717,30.4229469299316,0.05520494282973724,0.22076676215096627
4,2,23.99121800001012,60,45,80,50,45,20,50,28.83615222104014,28.84672927856445,0.041681918775427665,0.3333688787900409
4,3,43.53845100000035,70,80,70,70,70,50,68.3,30.83950587142833,30.8943195343018,0.4363958653466989,0.2066833163091648
4,4,32.0756379999948,75,70,80,60,80,40,67.5,31.304260254832776,31.4916820526123,0.5923498700167112,0.2805324199862717
5,1,40.52363899999182,15,15,5,50,50,5,23.3,31.5698077004842,31.5385084152222,,0.34551428307924714
5,2,38.68948199998704,10,5,5,50,10,5,14.2,34.04321701492947,34.13107872009275,0.025846818005997987,0.3618278306623405
5,3,50.13375700000324,85,5,50,70,65,10,47.5,35.78875366230561,35.8096961975098,0.2792529592386043,0.29915721131278467
5,4,140.9942260000098,90,95,70,85,85,75,83.3,37.144886352858705,37.1046371459961,0.7092489021500288,0.2766019250663763
6,1,42.70937100000447,30,30,30,25,30,5,25,30.087315240944132,29.9929313659668,0.07024219579351067,0.23410094917528804
6,2,25.83564699999988,60,45,45,30,60,5,40.8,30.447085052261787,30.3293704986572,0.07741242168233717,0.19355969972450304
6,3,94.06873500000802,70,70,70,60,60,15,57.5,30.96680021660619,31.0906133651733,0.350807311270819,0.1483519774857665
6,4,63.49628799999482,80,80,80,60,80,5,64.2,30.88224491493376,31.07184410095215,0.3937238031930629,0.23621943084342673
7,1,28.36037700000452,15,15,25,0,40,5,16.7,29.707917323721166,29.3921740490217,0.21156277294900008,0.3877749231666636
7,2,49.68001799998456,75,90,15,45,95,90,68.3,30.12989181588443,30.06641656667225,0.10064408591803559,0.3220099733733646
7,3,54.69304700000794,90,100,50,10,100,25,62.5,31.635394866877697,31.44195180545195,0.3291094752866372,0.32908368676757954
7,4,45.488086999976076,50,25,50,15,50,15,34.2,31.68268757986728,31.6964493366517,0.21983777862553902,0.4176559709296839
8,1,34.02062299998943,10,10,50,20,10,5,17.5,36.85226548797926,36.94692993164065,,0.23512939221889498
8,2,35.72016500000609,10,10,30,25,10,10,15.8,38.08283717347885,38.3565330505371,,0.36393054167272876
8,3,50.01470800000243,25,10,25,40,40,20,26.7,37.47736983331714,37.5503907434512,0.37988825207175214,0.35989073717207437
8,4,68.53223099999013,60,10,50,60,50,50,46.7,40.091715002987144,40.1296424865723,0.26265013902732265,0.24806788497320523
9,1,30.35639299999457,5,5,5,15,5,5,6.7,25.64432590665754,25.583750724792502,0.06588398035301354,0.2964393484105026
9,2,22.639870999992127,5,5,10,25,5,5,9.2,25.864464601488045,25.837776184082,0.088339725964017,0.35332496012075376
9,3,62.9518129999924,85,5,70,85,80,65,65,29.342337420563958,29.341856956481898,0.3018181541491473,0.20653358839066138
9,4,43.34174599999096,90,80,90,70,80,35,74.2,27.41992746777626,27.3682613372803,0.29994176976632897,0.3229681287784275
10,1,28.608831999998074,15,5,5,35,5,35,16.7,31.782120294260196,31.894225711525102,0.034954240704411395,0.20965601527903582
10,2,29.27637199999299,5,5,5,25,5,10,9.2,34.83641136170723,34.8148651123047,,0.3415053106722434
10,3,86.80883599998197,75,5,50,35,70,35,45,36.14049502933339,36.3779690934858,0.7487717033783693,0.3110241364752344
10,4,33.33198299998185,80,5,55,30,70,25,44.2,37.44809148050913,37.5233039855957,0.5100206609372523,0.26997890384842244
11,1,58.98962500000016,50,10,15,10,50,5,23.3,35.06567663060581,35.17853927612305,0.2203777359154252,0.2712338146518716
11,2,29.223727999999937,50,25,45,15,35,5,29.2,36.47566684887251,36.49486923217775,0.06843753815392767,0.41065373353798423
11,3,112.81013000000075,90,15,85,35,85,75,64.2,38.97680621697316,38.9465751647949,0.38117144267097036,0.2925161524095321
11,4,53.927308999999696,85,10,95,40,90,70,65,38.25607502968358,38.0288963317871,0.27815220670477153,0.2966955303513769
12,1,39.5007409999962,20,10,10,5,20,5,11.7,28.166030459489107,28.05805206298825,,0.379737894778591
12,2,23.046438000004855,40,25,55,40,45,10,35.8,29.889349126158773,29.9427242279053,,0.21692468990833008
12,3,77.95578299999761,70,10,10,25,60,10,30.8,30.540264374064364,30.5581689429224,0.2052445551088941,0.21806777736366567
12,4,68.71444599999813,75,20,75,45,70,10,49.2,30.431605536102413,30.559366226196303,0.29105961212290854,0.11641093560838889
13,1,58.258279999994556,15,15,5,15,15,5,11.7,28.96173647124639,28.96120166778565,0.03432988409544852,0.2747260223913609
13,2,27.47623499999463,15,15,15,30,30,5,18.3,31.859156293624558,31.870066642761202,,0.40032718376787496
13,3,108.93175600000541,60,35,20,40,60,5,36.7,31.100367987532113,31.06032573594905,0.34884226046992317,0.23867288768162587
13,4,43.46640100001241,70,25,50,50,65,50,51.7,30.994050046908253,30.9004263865262,0.2300627558282809,0.368070449788281
14,1,62.81754399999045,15,15,50,0,15,5,16.7,27.124070760488696,27.0946865081787,0.015919119665043766,0.22285361781315258
14,2,42.99081200000364,5,5,5,0,10,5,5,27.98191256304219,27.8882713317871,0.023260784188024065,0.23256495963752435
14,3,129.81186000000162,60,25,15,65,50,30,40.8,31.653488549448845,31.519875176324348,0.053924194599783974,0.16947809970293248
14,4,122.22160299999814,80,10,25,35,50,35,39.2,32.41580586923935,32.3688774108887,0.22091021012054973,0.22907519297077852
15,1,69.7965489999624,95,100,5,95,95,5,65.8,26.140035042599557,26.098268508911147,0.4298206778105342,0.2865836782431028
15,2,30.051821000059135,100,5,100,0,90,30,54.2,26.501032558372707,26.4060573577881,0.26620682986179967,0.232890565671769
15,3,40.88398599997163,90,5,15,65,70,51,49.3,27.411144388569568,27.0941181182861,0.6114863653465039,0.34236604182765323
15,4,74.532257999992,100,5,100,50,100,95,75,29.726189570815862,29.7353897094727,0.6440164472141063,0.28174133235685844
16,1,21.561471999972127,10,5,5,0,10,5,5.8,32.43860861543028,32.0585966663499,0.09275804546195109,0.3246064361438177
16,2,22.213648000033572,15,5,25,0,15,5,10.8,34.360926037053055,34.0446395874023,0.045017369501780556,0.3150803675504008
16,3,57.36395300005097,50,5,50,10,55,5,29.2,34.380870046137204,34.060081481933594,0.17432550368331684,0.2789300883347421
16,4,31.447360999998637,90,5,90,50,90,25,58.3,32.858972094393486,32.6111106872559,0.1271966827359591,0.28622517493480026
17,1,42.02249799994752,65,85,25,30,60,10,45.8,35.69770927686648,35.561313629150405,0.047593553339035144,0.23796972323113066
17,2,20.964111999957822,60,10,55,15,40,10,31.7,36.07282062325167,35.6801338195801,,0.286228044610225
17,3,51.03234399994835,70,10,30,20,75,15,36.7,41.506593298842716,41.3322296142578,0.48988539503545636,0.2548797112846967
17,4,61.27379000000656,90,10,55,30,60,40,47.5,42.5260421409811,42.6558570861816,0.5548865183628492,0.22846844245781378
18,1,34.444332999992184,45,10,25,70,40,15,34.2,29.327989992587263,29.4192562103271,0.029032351998229344,0.20319145857413784
18,2,26.603560999967158,60,10,75,45,35,15,40,31.86453822812011,32.042854309082045,,0.30061990643069875
18,3,7249.677537999931,65,10,30,60,60,15,40,31.279878476076977,30.8578329086304,0.001379371695855984,0.17631890212116008
18,4,6954.677879000083,80,10,60,70,70,15,50.8,34.58283374040887,33.4954490661621,0.0018692454526548238,0.17662366207577335
19,1,33.800468000001274,15,5,5,10,10,5,8.3,31.433579092094742,31.305987358093248,,0.3253852417057771
19,2,31.02778699999908,40,5,85,5,25,15,29.2,32.93037137434333,32.9823513031006,,0.29008204648378194
19,3,57.874758000005386,90,5,50,75,75,20,52.5,39.484403165965375,39.7528953552246,0.24190165944190553,0.3628646463548973
19,4,39.466182000003755,90,5,90,30,90,15,53.3,37.25920665584587,37.5057716369629,0.07601444700173213,0.3040658353211436
20,1,28.127879000006942,25,25,25,10,25,20,21.7,30.991844689489955,30.9108304977417,0.03555191630338545,0.31988674018979923
20,2,31.206042000005255,25,25,35,20,25,25,25.8,33.53060985792406,33.34175491333011,0.0640901527979634,0.28839766115267235
20,3,100.05585300001258,35,35,30,20,30,30,30,35.97001612432973,36.14415550231935,0.5596873977976377,0.23985618223313618
20,4,58.78374100000656,50,35,35,55,40,45,43.3,37.01841476459256,37.207462310791,0.4763221857553584,0.32320745911100834
21,1,42.88037000002805,25,25,50,10,25,50,30.8,30.546013523679385,30.6107883453369,0.046641388588734,0.2798352992032424
21,2,41.178928999986965,25,25,25,10,25,25,22.5,31.28448102602849,31.362271308898947,0.024284264411061213,0.2185220822268223
21,3,112.73169699998107,85,75,75,35,65,85,70,32.89028977695665,32.948169708252,0.4080485012126423,0.2749841446137808
21,4,112.99279099999694,90,65,85,35,75,90,73.3,32.830620104044065,33.1151466369629,0.5487075719724605,0.24781223065488284
22,1,40.333732000000055,5,5,5,0,5,5,4.2,36.999034760066536,37.0199699401855,,0.3223340556095681
22,2,30.86797800000022,25,5,5,10,5,5,9.2,38.52830983126365,38.5179748535156,,0.2268012347512821
22,3,56.460553999999775,5,5,5,5,5,5,5,39.10815327983839,39.0642719268799,0.07084592191567968,0.31881275829146966
22,4,57.14615999999978,5,5,5,10,5,5,5.8,41.4662647228882,41.2991523742676,0.03499797711692278,0.3849977540193529
23,1,39.57622900000024,30,25,15,5,20,5,16.7,41.09757845265972,41.413473129272504,0.025267692887060916,0.27791564428975224
23,2,18.107851000000664,15,20,30,15,45,40,27.5,41.08406697337615,41.0729465484619,,0.5521235860184247
23,3,28.141422000000603,55,60,45,40,80,20,50,45.280880462388986,45.402223587036104,0.21320884211181196,0.24870489148338565
23,4,27.707876999998916,50,20,80,25,75,20,45,44.676043148399735,45.03583145141605,0.21654491969919726,0.18042829346588618
24,1,34.43984099999943,50,5,5,0,50,5,19.2,42.529779882314884,39.2891540527344,0.1451806934881053,0.26127925108303324
24,2,22.256101999999373,50,25,50,5,60,5,32.5,45.10530516246405,41.4125213623047,0.04493149788763676,0.3593246555980606
24,3,58.50428799999645,100,5,5,50,100,5,44.2,45.54591514277486,46.39500617980955,0.44441186943428107,0.1709335001507713
24,4,118.5761829999974,100,75,5,50,100,10,56.7,47.96290086998383,49.4218978881836,0.3963696487008781,0.26377102802842284
25,1,36.958413999993354,25,10,10,5,25,5,13.3,37.886366373787425,34.9748802185059,0.027057438124920074,0.29759575769131386
25,2,23.762040000001434,80,25,15,10,50,5,30.8,41.80037397573447,39.1338921164634,,0.3367138917018829
25,3,71.43637800001306,65,30,50,20,75,15,42.5,46.89004626193186,43.331326185075795,0.2939678716633164,0.237994182232232
25,4,47.77603399999498,85,25,50,30,70,10,45,44.41303828674693,41.304249729114,0.3139649473625537,0.2720574273885403
26,1,25.323827999993227,25,25,25,10,30,15,21.7,36.01967989287425,35.84453964233395,,0.23691208316974646
26,2,33.077923000004375,30,25,30,50,35,20,31.7,38.82857504872661,38.7066268920898,0.1209265769195808,0.3325509015255819
26,3,52.27679800000624,80,30,25,75,65,75,58.3,43.55288819103459,42.9799613952637,0.15303156096130918,0.24862918299947429
26,4,42.239288000011584,75,30,30,65,65,60,54.2,40.27769482390116,39.92456436157225,0.33144498079598694,0.21303445892731704
27,1,31.000108999956865,25,5,5,45,20,5,17.5,35.91002306791273,36.9715347290039,,0.2257527443068963
27,2,26.37123300001258,80,10,65,25,65,25,45,35.94548486086577,35.1016540527344,,0.2654599111921227
27,3,129.71973400004208,100,10,5,65,90,60,55,37.891550303192695,37.1603164672852,0.308357092375683,0.3006358251132573
27,4,47.84480600000825,90,10,55,70,80,95,66.7,36.22748783222554,34.5113067626953,0.29261274463099685,0.18809241469370253
28,1,41.64136999996845,25,10,25,35,20,70,30.8,32.928453534178324,32.85029983520505,0.12007289865832436,0.31219792224395243
28,2,19.435869999986608,25,15,75,25,25,70,39.2,33.61975187091335,33.624721527099595,,0.20584527506112946
28,3,44.835928999993484,50,15,15,60,75,50,44.2,35.750811898434534,35.70405197143555,0.22303541429913168,0.26766066618674145
28,4,33.434287999989465,50,15,15,30,55,60,37.5,35.05409034422274,34.815071105957,0.2990941514891285,0.3294777991041919
29,1,35.188239000039175,30,20,20,0,20,5,15.8,43.10018410384034,43.4026260375977,0.05683717221534654,0.3409416450249519
29,2,25.589134000008926,30,25,40,0,45,5,24.2,44.12500236501648,44.3642158508301,,0.35171316650077455
29,3,61.912028999999166,70,10,35,65,60,25,44.2,46.99394634163165,47.2663764953613,0.35534290113477457,0.25841436541617185
29,4,51.556957000051625,85,25,55,55,75,50,57.5,50.119098281463614,50.1392230987549,0.3685244650878246,0.3104857901425218
30,1,50.4296580000082,35,15,50,50,25,75,41.7,39.98095306561583,40.121341705322294,0.019829601065306398,0.2775684394061183
30,2,21.687841999926604,20,45,50,50,25,15,34.2,41.66951835346564,42.2895251653322,0.04610878297635072,0.32275938990713204
30,3,57.6400249999715,50,5,25,45,50,45,36.7,42.02770538562886,42.290300369262695,0.13879244500681523,0.2602360127246232
30,4,86.32394100003876,75,5,30,90,70,45,52.5,46.540152289712864,46.92775344848635,0.15059553409400253,0.2548599770326578
31,1,41.64136999996845,30,10,15,25,50,10,23.3,32.928453534178324,32.85029983520505,0.12007289865832436,0.31219792224395243
31,2,19.435869999986608,60,10,75,30,60,20,42.5,33.61975187091335,33.624721527099595,,0.20584527506112946
31,3,44.835928999993484,50,10,30,50,55,45,40,35.750811898434534,35.70405197143555,0.22303541429913168,0.26766066618674145
31,4,33.434287999989465,75,10,90,75,85,40,62.5,35.05409034422274,34.815071105957,0.2990941514891285,0.3294777991041919
32,1,75.81597900006454,15,10,10,0,95,5,22.5,38.49748443353263,38.457202911377,0.02637966331607084,0.10552479134168814
32,2,31.375676000025123,20,30,25,5,95,5,30,40.82551031376949,40.89111328125,,0.22310656707468565
32,3,88.67594099999405,80,70,50,60,95,85,73.3,41.39709198619918,41.2886562347412,0.1691552390743844,0.3270129141795842
32,4,91.70757500000764,95,60,95,80,75,100,84.2,45.2621649726815,45.430097579956055,0.2726056162754049,0.261701969489694
33,1,27.012087999959476,25,10,5,0,30,5,12.5,30.919966828682373,30.99506850619175,,0.3331353583921248
33,2,25.192940999986604,35,30,60,45,50,55,45.8,34.01267790386806,34.578556060791,0.07938731726482683,0.2777980118359319
33,3,34.34696300001815,55,15,5,50,30,15,28.3,34.10493152207591,34.26020050048825,0.08734396691778586,0.2620364248096304
33,4,43.683851000037976,55,50,75,70,55,55,60,35.85570534004235,36.0276222229004,0.16024228266857504,0.27471311137464627
34,1,33.2918569999747,5,5,5,25,5,5,8.3,26.849564296983317,26.750789642334,,0.21023419774212393
34,2,29.632373000029474,15,20,80,40,35,40,38.3,28.173170613926565,28.2951946258545,,0.303671069435392
34,3,24.645579000003636,5,5,5,95,5,30,24.2,27.07440966873634,27.1056213378906,,0.2840685202487407
34,4,44.655054000089876,45,5,60,30,45,35,36.7,30.655026905222673,30.459950447082498,0.1343632906588339,0.3135256452616624
35,1,29.507894000038505,25,5,30,25,20,25,21.7,35.081415515774644,35.0379371643066,0.033889236554757014,0.3388005981116607
35,2,29.523863999987952,35,5,25,40,30,15,25,35.87295925788675,35.7455253601074,,0.4064511038563942
35,3,48.64602600003127,65,5,20,35,60,30,35.8,36.37631547173615,36.1877403259277,0.2261233014181452,0.34946417480332814
35,4,35.298818000010215,85,5,65,85,75,80,65.8,38.01768671659565,37.8750762939453,0.08498868149067008,0.3399510614950923
36,1,30.918845999985933,25,15,15,25,35,35,25,38.254205183619575,38.194639875243396,,0.19405675946740963
36,2,25.062837000004947,35,25,10,15,50,15,25,41.9142013489413,41.903774261474595,,0.31910337694920576
36,3,70.76421299995854,100,15,35,15,85,50,50,44.52977573057908,44.4504856962192,0.12718293072806833,0.2119606692565667
36,4,58.94351299997652,90,15,85,25,95,75,64.2,44.620872645030026,44.646157849439646,0.20358474392262266,0.30537909238849154
37,1,16.75169399997685,10,10,25,5,20,5,12.5,31.443278406741545,31.50541019439695,0.05969545527762039,0.11937612010235842
37,2,11.25620699999854,40,15,30,10,30,10,22.5,32.741573101307246,31.83304308222995,,0.0
37,3,35.98843599995598,40,20,20,15,20,5,20,32.44097724883579,32.6038627624512,0.055573406968906516,0.2778717756241285
37,4,71.48366800002987,60,20,50,10,35,10,30.8,32.91028421456565,32.91237258911135,0.13989209395348629,0.11190939110671477
38,1,57.467451000004075,50,5,5,0,25,5,15,26.72047601802728,26.6483535766602,0.017401154611850263,0.19141203124143552
38,2,28.54990500002168,50,25,50,10,50,5,31.7,27.719569802605125,27.8827496988634,,0.21013590539651245
38,3,102.84801600000355,75,25,25,25,50,50,41.7,27.550580062863542,27.586966672705202,0.19446169967925594,0.26252349238872863
38,4,79.48052999994252,75,25,15,15,50,50,38.3,28.436228088950266,28.21765995025635,0.15098037217427562,0.3019370507297035
39,1,32.03911100002006,5,10,5,0,5,5,5,28.983968906436306,28.9920436789878,,0.37449232299261237
39,2,47.23850300000049,5,10,35,65,5,5,20.8,28.068448340335188,28.0333722508216,0.02116917210522081,0.33868567836363833
39,3,59.93604599998798,30,5,10,30,40,5,20,32.22040693732017,32.1882629394531,0.30032011120659524,0.30030005230431966
39,4,32.7335290000774,20,10,10,5,10,5,10,31.38094364221705,31.387964248657198,0.06109943110610747,0.3360692681534388
40,1,45.9195400000317,35,25,50,5,25,10,25,31.76688073922774,31.7721214294434,0.021777221635915986,0.2831166561712057
40,2,40.61972300009802,55,35,75,20,50,30,44.2,33.437913147003606,33.2792587280273,0.04923716491112393,0.32001020487902987
40,3,100.53204499999993,85,75,55,70,80,20,64.2,37.93845020104739,37.92292022705075,0.8057132429764068,0.2685606558787548
40,4,96.82008800003678,85,45,95,75,75,25,66.7,38.98197949483502,39.20012855529785,0.6610198495169276,0.21688846326431657
41,1,71.82418400002643,20,5,20,5,20,5,12.5,28.904500805969388,29.0213675750654,,0.33416115959194925
41,2,62.70812299998943,15,5,15,5,25,5,11.7,29.23106443181091,29.2870639113303,,0.2711062148618165
41,3,118.88899299991317,90,90,90,5,90,25,65,31.049298061332284,31.1111869812012,,0.23551754066928007
41,4,86.73255700001027,90,90,90,10,90,25,65.8,30.53064413210651,30.5984916687012,0.023059391642284488,0.3112736933320771
42,1,43.37153399991803,40,20,15,10,10,10,17.5,30.162320183103095,30.289182662963903,0.06916979233442999,0.2997092935126747
42,2,27.28239800001029,50,25,60,20,30,10,32.5,33.03518368670857,33.1260032653809,0.03665366951979891,0.32989756625523553
42,3,70.98428799991962,75,60,30,65,90,75,65.8,33.948182939653734,34.031467437744155,0.08452574744437522,0.2676462425234721
42,4,42.705881000030786,70,60,40,35,65,25,49.2,31.949708635785846,32.0689697265625,0.09366391481297662,0.3746019239976715
43,1,34.35465400000248,5,5,10,0,10,5,5.8,28.616321585436364,28.6911087036133,0.08732441316392775,0.20374793155826676
43,2,33.46423099999811,15,10,10,0,5,5,7.5,29.531979774960636,29.8584861755371,0.059765305827589855,0.23906372366077167
43,3,51.95103199999721,30,10,55,10,70,10,30.8,31.332484925829103,31.2689971923828,0.07699558307138565,0.30797094144033743
43,4,53.43950400000176,65,5,65,80,55,35,50.8,32.04855162202558,32.0488848489292,0.09356374265748865,0.33703428181644407
44,1,26.77200300000186,50,25,25,15,35,5,25.8,32.069953691340736,32.0432987213135,0.03735245360610226,0.2987752120995945
44,2,34.59011900000041,50,5,75,25,65,5,37.5,33.06694562291998,33.0068302154541,0.057819980324438205,0.3758302306620441
44,3,63.3574959999969,85,50,50,25,60,50,53.3,34.306020838708854,34.5428619384766,0.9470071228825542,0.2682941558501944
44,4,99.68808199999694,60,5,75,25,75,5,40.8,37.57961773942557,37.4631767272949,0.61190865323301,0.18056376249900785
45,1,69.07207500000368,55,20,35,25,40,15,31.7,34.267423344339726,34.01073265075685,0.014477630793630375,0.2316423559582414
45,2,35.4942219999939,65,30,20,5,25,5,25,35.58384829256882,35.39013671875,,0.22536421568673756
45,3,70.69476199999917,80,65,55,40,80,30,58.3,36.734790225661705,36.6776008605957,0.07072659782064276,0.24046172498582413
45,4,40.64280999999028,85,45,80,55,85,25,62.5,37.044904321409334,36.6743583679199,0.024604597959644994,0.3444582480619283
46,1,25.530761000001803,10,5,15,0,10,5,7.5,31.055881048210967,31.194507598877,0.07833687370305409,0.39183590304201377
46,2,33.331174000006285,10,30,100,10,45,15,35,31.033951072477905,31.2105770111084,0.09000583057768785,0.23999841121053872
46,3,42.97146800000337,75,5,55,15,55,20,37.5,35.13043137832511,35.3915328979492,0.16289878670189836,0.3491465165774192
46,4,45.50780300000042,65,25,75,30,80,50,54.2,33.19982987189563,33.598917007446246,0.17579402811425385,0.2636871338971978
47,1,41.93576300004497,5,5,5,0,10,5,5,31.570698497810213,31.573809623718297,0.04769199024703223,0.23847812892615108
47,2,22.78008499997668,10,5,5,45,20,10,15.8,33.22578155602309,33.427505493164105,0.13169397743700567,0.30716490891923476
47,3,90.3236039999174,50,10,20,50,75,10,35.8,34.71404367946369,35.0118865966797,0.07749912193501936,0.28784175098201326
47,4,34.180457999929786,50,5,10,10,50,5,21.7,34.12767639703201,34.2939147949219,0.2340518667133259,0.3218160018468735
